image_id,baseline_dice,result_dice,delta_dice,selected_positive,selected_negative,selected_boundary
PolypGen__C1_342OLCV1_100H0004,5.58659229987768e-10,5.58659229987768e-10,0.0,,,
PolypGen__C2_EndoCV2021_001351,5.614823050947848e-10,5.614823050947848e-10,0.0,,,
PolypGen__C2_EndoCV2021_001235,5.714285711277967e-10,5.714285711277967e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_00420,5.861664487127882e-10,5.861664487127882e-10,0.0,,,
PolypGen__C2_EndoCV2021_001188,6.053268997163741e-10,6.053268997163741e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_00383,6.090133952696419e-10,6.090133952696419e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_0054,6.447453126945391e-10,6.447453126945391e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000048,6.501950644555166e-10,6.501950644555166e-10,0.0,,,
PolypGen__C4_12_endocv2021_positive_679,6.535947894015237e-10,6.535947894015237e-10,0.0,,,
PolypGen__C2_EndoCV2021_001094,6.548788733518052e-10,6.548788733518052e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000221,6.648936401454364e-10,6.648936401454364e-10,0.0,,,
PolypGen__C2_EndoCV2021_001161,6.657789319852725e-10,6.657789319852725e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000368,6.872852287287401e-10,6.872852287287401e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_00400,6.963788434788398e-10,6.963788434788398e-10,0.0,,,
PolypGen__C4_10_endocv2021_positive_895,6.968641219629035e-10,6.968641219629035e-10,0.0,,,
PolypGen__C1_226OLCV1_100H0002,7.07714054026809e-10,7.07714054026809e-10,0.0,,,
PolypGen__C2_EndoCV2021_001414,7.272727420293279e-10,7.272727420293279e-10,0.0,,,
PolypGen__C2_EndoCV2021_001283,7.490636444451582e-10,7.490636444451582e-10,0.0,,,
PolypGen__C1_143OLCV1_100H0018,7.513147881610394e-10,7.513147881610394e-10,0.0,,,
PolypGen__C1_176OLCV1_100H0002,7.547169555977007e-10,7.547169555977007e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_00116,7.645259980648689e-10,7.645259980648689e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000007,7.668711776709358e-10,7.668711776709358e-10,0.0,,,
PolypGen__C1_732OLCV1_100H0012,7.757952058540241e-10,7.757952058540241e-10,0.0,,,
PolypGen__C4_12_endocv2021_positive_566,7.968127269109004e-10,7.968127269109004e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_00453,8.084074520908757e-10,8.084074520908757e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000269,8.090614844746824e-10,8.090614844746824e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_0043,8.176614940680338e-10,8.176614940680338e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_0098,8.183306254849754e-10,8.183306254849754e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_00228,8.29875501651145e-10,8.29875501651145e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000178,8.29875501651145e-10,8.29875501651145e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000313,8.605852142018477e-10,8.605852142018477e-10,0.0,,,
PolypGen__C2_EndoCV2021_001347,8.628127656784557e-10,8.628127656784557e-10,0.0,,,
PolypGen__C4_14_endocv2021_positive_491,8.650519189856709e-10,8.650519189856709e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000212,8.68055571867643e-10,8.68055571867643e-10,0.0,,,
PolypGen__C4_18_endocv2021_positive_1492,8.771929849160642e-10,8.771929849160642e-10,0.0,,,
PolypGen__C4_18_endocv2021_positive_960,8.771929849160642e-10,8.771929849160642e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_0068,8.802816808817227e-10,8.802816808817227e-10,0.0,,,
PolypGen__C1_962OLCV1_100H0004,9.208103168845128e-10,9.208103168845128e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_0026,9.242144272114672e-10,9.242144272114672e-10,0.0,,,
PolypGen__C4_30_endocv2021_positive_1417,9.737097794726424e-10,9.737097794726424e-10,0.0,,,
PolypGen__C6_EndoCV2021_C6_0100043,9.737097794726424e-10,9.737097794726424e-10,0.0,,,
PolypGen__C1_231OLCV1_100H0010,9.960159363942012e-10,9.960159363942012e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000227,9.97008919867426e-10,9.97008919867426e-10,0.0,,,
PolypGen__C2_EndoCV2021_001160,1.052631537490356e-09,1.052631537490356e-09,0.0,,,
PolypGen__C2_EndoCV2021_001054,1.0683760542917753e-09,1.0683760542917753e-09,0.0,,,
PolypGen__C4_27_endocv2021_positive_975,1.0787486459662432e-09,1.0787486459662432e-09,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000110,1.0940919281665629e-09,1.0940919281665629e-09,0.0,,,
PolypGen__C2_EndoCV2021_001165,1.1185682380343565e-09,1.1185682380343565e-09,0.0,,,
PolypGen__C2_EndoCV2021_001352,1.1574073921494232e-09,1.1574073921494232e-09,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000010,1.1614401662640716e-09,1.1614401662640716e-09,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000113,1.1627906415512257e-09,1.1627906415512257e-09,0.0,,,
PolypGen__C3_C3_EndoCV2021_00185,1.1778562569730866e-09,1.1778562569730866e-09,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000011,1.2077294719858855e-09,1.2077294719858855e-09,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000066,1.2091898593524775e-09,1.2091898593524775e-09,0.0,,,
PolypGen__C4_23_endocv2021_positive_1084,1.2376237812361524e-09,1.2376237812361524e-09,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000276,1.2562814122318855e-09,1.2562814122318855e-09,0.0,,,
PolypGen__C3_C3_EndoCV2021_0044,1.288659845499751e-09,1.288659845499751e-09,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000270,1.3245032848274718e-09,1.3245032848274718e-09,0.0,,,
PolypGen__C4_18_endocv2021_positive_908,1.3297872802908728e-09,1.3297872802908728e-09,0.0,,,
PolypGen__C6_EndoCV2021_C6_0100059,1.347708944443582e-09,1.347708944443582e-09,0.0,,,
PolypGen__C1_442OLCV1_100H0002,1.3812154753267691e-09,1.3812154753267691e-09,0.0,,,
