image_id,baseline_dice,result_dice,delta_dice,selected_positive,selected_negative,selected_boundary
PolypGen__C5_EndoCV2021_C5_50000040,2.2311467950952846e-10,2.2311467950952846e-10,0.0,,,
PolypGen__C2_EndoCV2021_001372,2.2603978411250836e-10,2.2603978411250836e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000173,2.2706629632107678e-10,2.2706629632107678e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000081,2.32720495652039e-10,2.32720495652039e-10,0.0,,,
PolypGen__C1_291OLCV1_100H0012,2.375861174463978e-10,2.375861174463978e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_00386,2.376990826391534e-10,2.376990826391534e-10,0.0,,,
PolypGen__C2_EndoCV2021_001093,2.382654351595903e-10,2.382654351595903e-10,0.0,,,
PolypGen__C2_EndoCV2021_001357,2.394062725841195e-10,2.394062725841195e-10,0.0,,,
PolypGen__C2_EndoCV2021_001104,2.4600246839590056e-10,2.4600246839590056e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000096,2.4697455192068674e-10,2.4697455192068674e-10,0.0,,,
PolypGen__C2_EndoCV2021_001218,2.481389538289136e-10,2.481389538289136e-10,0.0,,,
PolypGen__C4_22_endocv2021_positive_1352,2.495632589472052e-10,2.495632589472052e-10,0.0,,,
PolypGen__C2_EndoCV2021_001261,2.515723185325669e-10,2.515723185325669e-10,0.0,,,
PolypGen__C4_10_endocv2021_positive_584,2.546473032438712e-10,2.546473032438712e-10,0.0,,,
PolypGen__C4_26_endocv2021_positive_1093,2.5555840776902983e-10,2.5555840776902983e-10,0.0,,,
PolypGen__C4_14_endocv2021_positive_864,2.581311275839937e-10,2.581311275839937e-10,0.0,,,
PolypGen__C4_23_endocv2021_positive_370,2.582644653692512e-10,2.582644653692512e-10,0.0,,,
PolypGen__C4_17_endocv2021_positive_106,2.598752602001042e-10,2.598752602001042e-10,0.0,,,
PolypGen__C2_EndoCV2021_001127,2.78940037734543e-10,2.78940037734543e-10,0.0,,,
PolypGen__C1_940OLCV1_100H0004,2.7917365641449976e-10,2.7917365641449976e-10,0.0,,,
PolypGen__C2_EndoCV2021_001014,2.8153152031862305e-10,2.8153152031862305e-10,0.0,,,
PolypGen__C4_10_endocv2021_positive_499,2.8272548191488056e-10,2.8272548191488056e-10,0.0,,,
PolypGen__C4_26_endocv2021_positive_14,2.852253155882778e-10,2.852253155882778e-10,0.0,,,
PolypGen__C2_EndoCV2021_001417,2.891008821226393e-10,2.891008821226393e-10,0.0,,,
PolypGen__C4_6_endocv2021_positive_233,2.891008821226393e-10,2.891008821226393e-10,0.0,,,
PolypGen__C1_673OLCV1_100H0010,2.910360841212878e-10,2.910360841212878e-10,0.0,,,
PolypGen__C4_19_endocv2021_positive_787,2.939447296679276e-10,2.939447296679276e-10,0.0,,,
PolypGen__C4_30_endocv2021_positive_1057,2.981514479749592e-10,2.981514479749592e-10,0.0,,,
PolypGen__C2_EndoCV2021_001002,2.991325243062448e-10,2.991325243062448e-10,0.0,,,
PolypGen__C2_EndoCV2021_001257,3.015681593332431e-10,3.015681593332431e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000120,3.020235450623687e-10,3.020235450623687e-10,0.0,,,
PolypGen__C4_9_endocv2021_positive_650,3.0807148498901427e-10,3.0807148498901427e-10,0.0,,,
PolypGen__C4_30_endocv2021_positive_1459,3.124999981007903e-10,3.124999981007903e-10,0.0,,,
PolypGen__C1_431OLCV1_100S0007,3.1259769772695734e-10,3.1259769772695734e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_00341,3.1505986708424416e-10,3.1505986708424416e-10,0.0,,,
PolypGen__C2_EndoCV2021_001232,3.2626426560433686e-10,3.2626426560433686e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_00137,3.272251358765743e-10,3.272251358765743e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000334,3.276539872754114e-10,3.276539872754114e-10,0.0,,,
PolypGen__C4_11_endocv2021_positive_625,3.2948929695741924e-10,3.2948929695741924e-10,0.0,,,
PolypGen__C2_EndoCV2021_001296,3.4246575020269177e-10,3.4246575020269177e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000319,3.4602076759426836e-10,3.4602076759426836e-10,0.0,,,
PolypGen__C2_EndoCV2021_001303,3.4904013013203894e-10,3.4904013013203894e-10,0.0,,,
PolypGen__C1_176OLCV1_100H0290,3.552397820349995e-10,3.552397820349995e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000074,3.5587188751406984e-10,3.5587188751406984e-10,0.0,,,
PolypGen__C4_19_endocv2021_positive_879,3.7009623143902104e-10,3.7009623143902104e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_00410,3.7257824603287304e-10,3.7257824603287304e-10,0.0,,,
PolypGen__C4_23_endocv2021_positive_1337,3.7778616346351157e-10,3.7778616346351157e-10,0.0,,,
PolypGen__C2_EndoCV2021_001154,3.813882543113323e-10,3.813882543113323e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_00477,3.941663384576799e-10,3.941663384576799e-10,0.0,,,
PolypGen__C4_23_endocv2021_positive_1169,4.0633887921082135e-10,4.0633887921082135e-10,0.0,,,
PolypGen__C2_EndoCV2021_001174,4.0983605398281497e-10,4.0983605398281497e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_0084,4.13223150141917e-10,4.13223150141917e-10,0.0,,,
PolypGen__C2_EndoCV2021_001058,4.239084361312706e-10,4.239084361312706e-10,0.0,,,
PolypGen__C2_EndoCV2021_001292,4.334633763036777e-10,4.334633763036777e-10,0.0,,,
PolypGen__C6_EndoCV2021_C6_0100046,4.3440487318413545e-10,4.3440487318413545e-10,0.0,,,
PolypGen__C4_18_endocv2021_positive_115,4.3572984109729873e-10,4.3572984109729873e-10,0.0,,,
PolypGen__C4_21_endocv2021_positive_1207,4.4111159169801795e-10,4.4111159169801795e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_0096,4.424778876632729e-10,4.424778876632729e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_0077,4.438526490790906e-10,4.438526490790906e-10,0.0,,,
